7zip 25.01-1
kdeclarative 6.19.0-1
kdeclarative5 5.116.0-2
kdeconnect 25.08.3-1
kdecoration 6.5.2-1
kded 6.19.0-1
kded5 5.116.0-2
kdegraphics-mobipocket 25.08.3-1
kdegraphics-thumbnailers 25.08.3-1
kdenetwork-filesharing 25.08.3-1
kdeplasma-addons 6.5.2-2
kdesu 6.19.0-1
kdnssd 6.19.0-1
kdsingleapplication 1.2.0-1
kdsoap-qt6 2.2.0-1
kdsoap-ws-discovery-client 0.4.0-2
kew 3.6.4-1
keyutils 1.6.3-3
kfilemetadata 6.19.0-1
kgamma 6.5.2-1
kglobalaccel 6.19.0-1
kglobalaccel5 5.116.0-2
kglobalacceld 6.5.2-1
kguiaddons 6.19.0-1
kguiaddons5 5.116.0-2
kholidays 1:6.19.0-1
ki18n 6.19.0-1
ki18n5 5.116.0-2
kiconthemes 6.19.0-1
kiconthemes5 5.116.0-2
kidentitymanagement 25.08.3-1
kidletime 6.19.0-1
kimageannotator 0.7.1-4
kimageformats 6.19.0-1
kimap 25.08.3-1
kinfocenter 6.5.2-1
kio 6.19.0-2
kio-admin 25.08.3-1
kio-extras 25.08.3-1
kio-fuse 5.1.1-1
kio5 5.116.0-5
kirigami 6.19.0-1
kirigami-addons 1.10.0-1
kirigami2 5.116.0-2
kitemmodels 6.19.0-1
kitemviews 6.19.0-1
kitemviews5 5.116.0-2
kitty 0.44.0-1
kitty-shell-integration 0.44.0-1
kitty-terminfo 0.44.0-1
kjobwidgets 6.19.0-1
kjobwidgets5 5.116.0-2
kldap 25.08.3-1
kmailtransport 25.08.3-1
kmbox 25.08.3-1
kmenuedit 6.5.2-1
kmime 25.08.3-1
kmod 34.2-1
knewstuff 6.19.0-1
knewstuff5 5.116.0-4
knighttime 6.5.2-1
knotifications 6.19.0-1
knotifications5 5.116.0-3
knotifyconfig 6.19.0-1
konaste-linux 0.2.4-2
konsave 2.2.0-5
konsole 25.08.3-2
kontactinterface 25.08.3-1
konversation 25.08.3-1
kpackage 6.19.0-1
kpackage5 5.116.0-3
kparts 6.19.0-1
kpeople 6.19.0-1
kpimtextedit 25.08.3-1
kpipewire 6.5.2-1
kpty 6.19.0-1
kquickcharts 6.19.0-1
krb5 1.21.3-2
krunner 6.19.0-1
kscreen 6.5.2-1
kscreenlocker 6.5.2-1
kservice 6.19.0-1
kservice5 5.116.0-3
kshook-wine 1.1-1
ksmtp 25.08.3-1
kstatusnotifieritem 6.19.0-1
ksvg 6.19.0-1
ksystemstats 6.5.2-1
ktextaddons 1.8.0-2
ktexteditor 6.19.0-1
ktexttemplate 6.19.0-1
ktextwidgets 6.19.0-1
ktextwidgets5 5.116.0-2
kunitconversion 6.19.0-1
kuserfeedback 6.19.0-1
kvantum 1.1.5-1
kwallet 6.19.0-1
kwallet-pam 6.5.2-1
kwallet5 5.116.0-5
kwalletmanager 25.08.3-1
kwayland 6.5.2-1
kwayland-integration 6.5.2-1
kwayland5 5.116.0-2
kwidgetsaddons 6.19.0-1
kwidgetsaddons5 5.116.0-2
kwin 6.5.2-1
kwindowsystem 6.19.0-1
kwindowsystem5 5.116.0-2
kxmlgui 6.19.0-1
kxmlgui5 5.116.0-2
l-smash 2.14.5-4
lame 3.100-6
lapack 3.12.1-2
layer-shell-qt 6.5.2-1
lcms2 2.17-1
ldb 2:4.23.3-2
leancrypto 1.6.0-1
lensfun 1:0.3.4-5
leptonica 1.86.0-1
less 1:685-1
leveldb 1.23-4
lib32-acl 2.3.2-1
lib32-alsa-lib 1.2.14-2
lib32-alsa-plugins 1.2.12-1
lib32-audit 4.1.2-1
lib32-brotli 1.1.0-1
lib32-bzip2 1.0.8-4
lib32-curl 8.17.0-1
lib32-dbus 1.16.2-1
lib32-e2fsprogs 1.47.3-1
lib32-expat 2.7.3-1
lib32-flac 1.5.0-1
lib32-fontconfig 2:2.17.1-1
lib32-freetype2 2.14.1-1
lib32-gcc-libs 15.2.1+r301+gf24307422d1d-1
lib32-gettext 0.26-1
lib32-glib2 2.86.1-1
lib32-glibc 2.42+r33+gde1fe81f4714-1
lib32-harfbuzz 12.2.0-2
lib32-icu 78.1-2
lib32-json-c 0.18-2
lib32-keyutils 1.6.3-2
lib32-krb5 1.21.3-1
lib32-libasyncns 1:0.8+r3+g68cd5af-3
lib32-libcap 2.77-1
lib32-libdrm 2.4.128-1
lib32-libelf 0.194-1
lib32-libffi 3.5.2-1
lib32-libgcrypt 1.11.2-1
lib32-libglvnd 1.7.0-1
lib32-libgpg-error 1.56-1
lib32-libidn2 2.3.7-1
lib32-libldap 2.6.10-1
lib32-libnghttp2 1.68.0-1
lib32-libnghttp3 1.12.0-1
lib32-libnl 3.11.0-1
lib32-libnm 1.54.1-1
lib32-libnsl 2.0.1-1
lib32-libogg 1.3.6-1
lib32-libpcap 1.10.5-3
lib32-libpciaccess 0.18.1-1
lib32-libpipewire 1:1.4.9-1
lib32-libpng 1.6.50-1
lib32-libpsl 0.21.5-1
lib32-libpulse 17.0+r93+gbe2efb69b-1
lib32-libsndfile 1.2.2-3
lib32-libssh2 1.11.1-1
lib32-libtasn1 4.20.0-1
lib32-libtirpc 1.3.7-1
lib32-libunistring 1.3-1
lib32-libunwind 1.8.1-1
lib32-libva 2.22.0-1
lib32-libvorbis 1.3.7-4
lib32-libx11 1.8.12-2
lib32-libxau 1.0.11-2
lib32-libxcb 1.17.0-1
lib32-libxcrypt 4.5.2-1
lib32-libxcrypt-compat 4.5.2-1
lib32-libxcursor 1.2.3-1
lib32-libxdmcp 1.1.5-1
lib32-libxext 1.3.6-1
lib32-libxfixes 6.0.1-2
lib32-libxi 1.8.2-1
lib32-libxinerama 1.1.5-2
lib32-libxkbcommon 1.13.0-1
lib32-libxml2 2.15.1-2
lib32-libxrandr 1.5.4-1
lib32-libxrender 0.9.11-2
lib32-libxshmfence 1.3.3-1
lib32-libxss 1.2.4-2
lib32-libxtst 1.2.5-2
lib32-libxxf86vm 1.1.5-2
lib32-llvm-libs 1:21.1.5-1
lib32-lm_sensors 1:3.6.2-2
lib32-mesa 1:25.2.7-1
lib32-ncurses 6.5-2
lib32-nspr 4.38.2-1
lib32-nss 3.117-1
lib32-nvidia-utils 580.105.08-1
lib32-openssl 1:3.6.0-1
lib32-opus 1.5.2-1
lib32-p11-kit 0.25.10-2
lib32-pam 1.7.1-1
lib32-pcre2 10.47-1
lib32-pipewire 1:1.4.9-1
lib32-spirv-tools 1:1.4.328.1-1
lib32-sqlite 3.51.0-1
lib32-systemd 258.2-1
lib32-util-linux 2.41.2-1
lib32-vulkan-icd-loader 1.4.328.1-1
